TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
249;0.47;-0.52;-11.00;0.13;-0.60;-0.15 
273;0.52;-0.52;-11.05;-0.84;-1.90;0.07 
296;0.41;-0.51;-11.07;-0.41;-2.04;-0.18 
320;0.51;-0.52;-10.92;-0.08;-0.92;-0.43 
343;0.57;-0.46;-10.99;0.18;-0.51;0.11 
366;0.47;-0.48;-10.99;-0.11;-1.16;0.18 
390;0.54;-0.44;-10.91;-0.45;-1.56;-0.06 
412;0.45;-0.51;-11.08;0.05;-0.79;0.27 
436;0.58;-0.49;-11.02;-0.24;-1.24;-0.14 
459;0.45;-0.49;-10.96;-0.31;-0.84;-0.34 
482;0.42;-0.48;-10.97;0.05;-1.04;-0.14 
505;0.49;-0.54;-10.95;-0.15;-1.25;0.23 
535;0.48;-0.47;-10.93;-0.07;-1.04;-0.16 
558;0.48;-0.46;-10.93;-0.16;-1.17;0.00 
581;0.52;-0.50;-10.99;0.03;-1.02;0.08 
605;0.46;-0.46;-11.04;0.02;-1.06;0.20 
628;0.51;-0.48;-10.93;0.05;-0.81;0.33 
652;0.46;-0.47;-11.03;-0.17;-1.04;0.26 
675;0.53;-0.43;-10.96;-0.15;-1.08;0.01 
699;0.44;-0.50;-10.99;-0.10;-1.21;-0.34 
723;0.47;-0.49;-11.05;-0.18;-1.11;-0.27 
747;0.50;-0.48;-10.94;-0.14;-1.03;-0.37 
771;0.48;-0.48;-10.95;-0.18;-1.13;-0.50 
794;0.55;-0.45;-10.95;-0.19;-1.11;-0.28 
824;0.39;-0.48;-10.93;-0.14;-1.14;0.03 
847;0.52;-0.47;-10.95;-0.11;-1.07;-0.47 
870;0.46;-0.50;-10.89;-0.20;-1.18;-0.18 
893;0.48;-0.46;-11.00;-0.13;-1.27;-0.27 
917;0.50;-0.47;-11.02;-0.11;-1.21;-0.02 
941;0.49;-0.46;-10.95;0.08;-1.08;0.12 
964;0.44;-0.52;-10.97;-0.20;-1.14;0.43 
988;0.48;-0.47;-10.98;-0.05;-1.00;0.01 
1011;0.51;-0.46;-11.00;-0.14;-1.17;-0.19 
1035;0.49;-0.50;-10.99;-0.15;-1.04;-0.08 
1058;0.50;-0.45;-10.94;0.05;-0.95;-0.42 
1081;0.53;-0.41;-10.95;0.02;-1.09;-0.09 
1104;0.53;-0.50;-10.94;-0.15;-1.11;0.28 
1134;0.51;-0.50;-10.90;-0.02;-1.17;-0.24 
1158;0.50;-0.43;-10.93;-0.13;-1.36;-0.40 
1181;0.52;-0.49;-10.96;-0.13;-1.18;-0.21 
1205;0.50;-0.50;-11.00;-0.08;-1.10;0.00 
1228;0.55;-0.46;-10.95;-0.08;-1.11;0.14 
1252;0.53;-0.51;-10.89;-0.15;-0.86;0.21 
1275;0.54;-0.43;-10.93;-0.02;-1.04;0.33 
1299;0.46;-0.50;-10.95;-0.03;-0.98;0.01 
1323;0.45;-0.48;-10.99;-0.03;-0.96;-0.15 
1346;0.53;-0.50;-10.98;-0.11;-1.27;-0.28 
1370;0.50;-0.48;-10.89;-0.30;-1.34;-0.25 
1393;0.52;-0.52;-10.93;-0.12;-0.95;-0.32 
1422;0.43;-0.37;-10.99;0.98;-0.14;-0.17 
1445;0.49;-0.37;-11.03;-0.34;-0.56;-1.73 
1469;0.40;-0.45;-10.91;0.51;-0.53;-1.63 
1492;0.54;-0.45;-10.93;0.61;-0.50;-1.08 
1516;0.39;-0.52;-11.05;0.58;-0.89;-0.57 
1540;0.53;-0.50;-10.99;0.79;-0.18;-0.56 
1563;0.51;-0.50;-10.95;0.02;-1.40;-0.20 
1587;0.50;-0.51;-11.01;-2.28;-3.59;-0.01 
1610;0.57;-0.58;-10.93;0.59;-1.75;-0.40 
1634;0.53;-0.51;-11.07;0.03;-1.88;-0.38 
1657;0.46;-0.47;-10.97;0.17;-1.16;-0.56 
1681;0.49;-0.42;-10.81;-1.49;-2.46;0.18 
1710;0.46;-0.38;-10.65;-0.21;-1.01;0.40 
1733;0.62;-0.53;-10.82;-0.48;-1.47;0.40 
1757;0.47;-0.41;-10.89;0.33;-0.89;0.09 
1781;0.45;-0.46;-10.86;0.96;-1.19;0.18 
1805;0.54;-0.50;-11.00;-0.43;-1.22;0.14 
1828;0.44;-0.46;-10.93;-0.58;-0.96;0.06 
1852;0.43;-0.43;-10.92;0.65;-1.04;-0.42 
1875;0.51;-0.52;-11.00;0.10;-0.98;-0.13 
1899;0.53;-0.72;-10.96;-0.92;-0.71;0.47 
1923;0.50;-0.45;-10.98;-1.33;-1.31;0.14 
1946;0.64;-0.56;-10.96;-0.48;-1.81;0.40 
1970;0.43;-0.61;-10.92;-1.63;-1.30;-0.18 
1999;0.44;-0.28;-11.04;0.71;-0.85;0.79 
2023;0.59;-0.50;-11.04;-0.92;-1.90;0.80 
2046;0.48;-0.45;-11.06;-0.14;-0.56;1.20 
2070;0.33;-0.34;-11.24;1.01;-0.27;0.36 
2094;0.32;-0.49;-10.99;-1.01;-1.42;1.13 
2117;0.46;-0.42;-10.91;0.08;-0.67;0.49 
2140;0.50;-0.52;-11.03;0.45;-0.86;-0.15 
2163;0.47;-0.49;-10.99;-0.69;-1.24;0.23 
2187;0.38;-0.30;-10.98;0.29;-0.14;0.13 
2210;0.52;-0.47;-11.01;0.51;-0.39;0.49 
2234;0.64;-0.57;-11.06;-0.40;-0.83;0.58 
2257;0.58;-0.51;-11.04;-1.01;-1.73;0.37 
2287;0.54;-0.47;-11.01;-0.50;-1.72;0.28 
2310;0.46;-0.43;-10.93;-0.05;-1.08;0.45 
2333;0.49;-0.47;-10.96;-0.37;-2.11;0.72 
2357;0.48;-0.55;-10.92;0.05;-1.53;0.52 
2380;0.40;-0.43;-10.98;-0.03;-1.51;0.31 
2404;0.49;-0.56;-10.92;-0.05;-1.03;0.01 
2427;0.53;-0.48;-10.87;0.02;-1.06;-0.34 
