TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
237;0.71;0.25;-9.76;-0.39;1.29;-0.43 
279;0.70;0.27;-9.76;-0.45;1.39;-0.44 
303;0.67;0.23;-9.73;-0.53;1.42;-0.40 
325;0.70;0.26;-9.75;-0.55;1.53;-0.57 
349;0.73;0.29;-9.74;-0.65;1.49;-0.53 
372;0.69;0.24;-9.75;-0.52;1.56;-0.43 
395;0.73;0.24;-9.73;-0.37;1.24;-0.66 
418;0.70;0.23;-9.74;-0.46;1.45;-0.42 
442;0.73;0.23;-9.73;-0.47;1.44;-0.57 
464;0.69;0.22;-9.73;-0.32;1.28;-0.47 
488;0.71;0.20;-9.78;-0.49;1.56;-0.32 
510;0.71;0.20;-9.72;-0.50;1.39;-0.48 
534;0.74;0.23;-9.75;-0.60;1.46;-0.58 
563;0.71;0.23;-9.72;-0.53;1.46;-0.42 
586;0.70;0.26;-9.73;-0.56;1.25;-0.49 
610;0.71;0.23;-9.77;-0.41;1.48;-0.37 
633;0.71;0.25;-9.72;-0.50;1.14;-0.53 
657;0.73;0.22;-9.75;-0.64;1.43;-0.44 
680;0.68;0.22;-9.74;-0.52;1.14;-0.52 
704;0.68;0.24;-9.76;-0.47;1.45;-0.53 
728;0.69;0.22;-9.73;-0.41;1.36;-0.47 
751;0.72;0.23;-9.73;-0.40;1.43;-0.40 
775;0.70;0.23;-9.75;-0.52;1.43;-0.40 
798;0.72;0.23;-9.76;-0.46;1.38;-0.47 
822;0.72;0.24;-9.73;-0.53;1.46;-0.40 
845;0.71;0.20;-9.69;-0.47;1.47;-0.43 
874;0.70;0.26;-9.70;-0.43;1.27;-0.59 
898;0.66;0.25;-9.73;-0.45;1.36;-0.50 
921;0.76;0.25;-9.69;-0.50;1.46;-0.44 
945;0.74;0.23;-9.73;-0.60;1.44;-0.43 
967;0.71;0.25;-9.71;-0.56;1.24;-0.34 
991;0.71;0.21;-9.72;-0.40;1.39;-0.47 
1014;0.72;0.27;-9.69;-0.53;1.46;-0.56 
1038;0.71;0.23;-9.70;-0.64;1.32;-0.33 
1061;0.71;0.22;-9.73;-0.57;1.40;-0.53 
1084;0.70;0.23;-9.71;-0.51;1.41;-0.42 
1107;0.71;0.20;-9.72;-0.40;1.42;-0.48 
1131;0.72;0.23;-9.72;-0.56;1.26;-0.50 
1155;0.72;0.22;-9.71;-0.39;1.46;-0.55 
1184;0.76;0.22;-9.74;-0.44;1.30;-0.43 
1208;0.69;0.19;-9.72;-0.53;1.26;-0.37 
1230;0.73;0.25;-9.70;-0.58;1.17;-0.43 
1254;0.72;0.27;-9.71;-0.50;1.37;-0.53 
1277;0.68;0.24;-9.69;-0.54;1.36;-0.47 
1301;0.69;0.27;-9.73;-0.60;1.49;-0.51 
1325;0.74;0.22;-9.69;-0.50;1.44;-0.43 
1348;0.68;0.23;-9.75;-0.41;1.35;-0.45 
1372;0.71;0.23;-9.66;-0.55;1.43;-0.47 
1395;0.72;0.23;-9.70;-0.64;1.40;-0.47 
1418;0.71;0.20;-9.70;-0.45;1.34;-0.57 
1441;0.70;0.23;-9.74;-0.59;1.36;-0.42 
1471;0.72;0.20;-9.72;-0.49;1.33;-0.43 
1495;0.71;0.24;-9.71;-0.44;1.24;-0.36 
1518;0.69;0.24;-9.72;-0.59;1.30;-0.40 
1542;0.74;0.24;-9.73;-0.82;1.26;-0.21 
1564;0.69;0.20;-9.70;-0.54;1.31;-0.53 
1588;0.71;0.19;-9.74;-0.67;1.34;-0.37 
1611;0.72;0.23;-9.75;-0.45;1.36;-0.47 
1635;0.74;0.23;-9.69;-0.54;1.43;-0.36 
1658;0.72;0.20;-9.72;-0.63;1.28;-0.43 
1682;0.72;0.24;-9.69;-0.70;1.34;-0.66 
1704;0.74;0.23;-9.76;-0.49;1.33;-0.44 
1728;0.73;0.24;-9.75;-0.54;1.28;-0.53 
1752;0.76;0.27;-9.71;-0.53;1.48;-0.40 
1781;0.70;0.24;-9.70;-0.60;1.34;-0.53 
1805;0.69;0.24;-9.68;-0.23;1.46;-0.47 
1828;0.72;0.20;-9.70;-0.47;1.40;-0.45 
1852;0.73;0.27;-9.75;-0.55;1.28;-0.52 
1875;0.73;0.22;-9.72;-0.52;1.34;-0.60 
1899;0.71;0.18;-9.69;-0.67;1.40;-0.39 
1923;0.71;0.21;-9.74;-0.62;1.34;-0.55 
1946;0.68;0.23;-9.71;-0.74;1.32;-0.53 
1970;0.70;0.23;-9.72;-0.43;1.42;-0.53 
1993;0.70;0.27;-9.68;-0.57;1.33;-0.50 
2017;0.70;0.24;-9.73;-0.60;1.35;-0.45 
2040;0.71;0.23;-9.73;-0.56;1.53;-0.42 
2064;0.69;0.24;-9.69;-0.50;1.41;-0.42 
2093;0.71;0.25;-9.73;-0.59;1.46;-0.30 
2116;0.70;0.20;-9.71;-0.69;1.33;-0.43 
2140;0.69;0.23;-9.72;-0.56;1.30;-0.44 
2163;0.75;0.25;-9.73;-0.53;1.42;-0.52 
2187;0.72;0.20;-9.69;-0.36;1.45;-0.57 
2209;0.69;0.21;-9.71;-0.36;1.44;-0.55 
2233;0.69;0.25;-9.73;-0.53;1.08;-0.62 
2256;0.72;0.23;-9.68;-0.47;1.43;-0.49 
2280;0.71;0.23;-9.68;-0.33;1.37;-0.52 
2304;0.74;0.25;-9.71;-0.56;1.43;-0.53 
2327;0.73;0.18;-9.72;-0.46;1.36;-0.57 
2350;0.71;0.19;-9.68;-0.52;1.35;-0.43 
2373;0.67;0.19;-9.67;-0.49;1.23;-0.46 
2403;0.71;0.22;-9.70;-0.23;1.31;-0.50 
2426;0.72;0.27;-9.76;-0.58;1.22;-0.51 
2449;0.74;0.21;-9.72;-0.60;1.49;-0.63 
2472;0.72;0.24;-9.69;-0.43;1.35;-0.47 
2496;0.74;0.21;-9.70;-0.56;1.37;-0.43 
2520;0.71;0.23;-9.68;-0.56;1.31;-0.53 
2543;0.75;0.23;-9.74;-0.67;1.40;-0.39 
2567;0.68;0.22;-9.72;-0.41;1.42;-0.50 
2589;0.72;0.19;-9.69;-0.57;1.27;-0.56 
2613;0.73;0.25;-9.71;-0.55;1.45;-0.47 
2636;0.71;0.24;-9.73;-0.64;1.34;-0.43 
2660;0.68;0.26;-9.73;-0.61;1.41;-0.47 
2683;0.70;0.23;-9.72;-0.53;1.40;-0.53 
2712;0.72;0.23;-9.70;-0.40;1.18;-0.49 
2736;0.71;0.21;-9.71;-0.54;1.24;-0.38 
2759;0.69;0.27;-9.68;-0.60;1.32;-0.52 
2783;0.70;0.23;-9.72;-0.33;1.35;-0.53 
2805;0.70;0.21;-9.69;-0.40;1.30;-0.35 
2829;0.71;0.24;-9.73;-0.53;1.37;-0.50 
2852;0.68;0.23;-9.71;-0.56;1.29;-0.37 
2876;0.71;0.26;-9.72;-0.72;1.34;-0.43 
2899;0.70;0.23;-9.70;-0.57;1.39;-0.37 
2922;0.68;0.22;-9.73;-0.73;1.38;-0.55 
2946;0.75;0.25;-9.70;-0.56;1.36;-0.49 
2984;0.75;0.22;-9.69;-0.54;1.13;-0.65 
3014;0.69;0.23;-9.70;-0.50;1.43;-0.51 
3038;0.73;0.22;-9.69;-0.37;1.34;-0.49 
3061;0.69;0.28;-9.70;-0.47;1.45;-0.49 
3085;0.70;0.22;-9.70;-0.60;1.14;-0.53 
3108;0.74;0.24;-9.70;-0.50;1.34;-0.52 
3142;0.73;0.22;-9.69;-0.60;1.24;-0.54 
3166;0.70;0.27;-9.74;-0.56;1.14;-0.42 
3189;0.73;0.21;-9.68;-0.50;1.36;-0.47 
3213;0.72;0.23;-9.71;-0.43;1.16;-0.39 
3236;0.72;0.21;-9.71;-0.43;1.43;-0.63 
3260;0.69;0.23;-9.69;-0.62;1.34;-0.45 
3283;0.69;0.23;-9.73;-0.56;1.33;-0.38 
3307;0.71;0.21;-9.68;-0.43;1.39;-0.51 
3337;0.69;0.22;-9.71;-0.50;1.38;-0.50 
3359;0.73;0.28;-9.69;-0.47;1.35;-0.50 
3383;0.69;0.21;-9.67;-0.72;1.40;-0.53 
3406;0.71;0.23;-9.75;-0.52;1.34;-0.63 
3430;0.72;0.21;-9.70;-0.63;1.27;-0.43 
3453;0.71;0.23;-9.71;-0.52;1.37;-0.40 
3476;0.69;0.23;-9.72;-0.49;1.21;-0.46 
3500;0.73;0.23;-9.71;-0.64;1.38;-0.50 
3523;0.73;0.21;-9.67;-0.63;1.37;-0.58 
3547;0.73;0.25;-9.67;-0.47;1.29;-0.45 
3570;0.70;0.25;-9.71;-0.44;1.45;-0.54 
3593;0.71;0.24;-9.71;-0.56;1.24;-0.35 
3616;0.68;0.22;-9.71;-0.56;1.28;-0.46 
3646;0.75;0.22;-9.70;-0.53;1.27;-0.56 
3670;0.72;0.23;-9.72;-0.49;1.45;-0.37 
3693;0.74;0.24;-9.72;-0.74;1.33;-0.41 
3717;0.69;0.22;-9.72;-0.47;1.39;-0.55 
3739;0.70;0.22;-9.70;-0.52;1.44;-0.47 
3763;0.76;0.23;-9.72;-0.47;1.40;-0.58 
3786;0.73;0.20;-9.71;-0.62;1.36;-0.55 
3810;0.75;0.28;-9.70;-0.40;1.25;-0.53 
3833;0.75;0.24;-9.74;-0.31;1.52;-0.53 
3856;0.75;0.21;-9.73;-0.43;1.23;-0.58 
3879;0.71;0.22;-9.70;-0.63;1.15;-0.51 
3903;0.70;0.20;-9.69;-0.57;1.37;-0.40 
3927;0.73;0.23;-9.72;-0.52;1.29;-0.50 
3955;0.74;0.20;-9.68;-0.54;1.34;-0.42 
3979;0.74;0.20;-9.69;-0.52;1.37;-0.56 
4002;0.70;0.21;-9.71;-0.38;1.41;-0.61 
4026;0.69;0.21;-9.72;-0.37;1.32;-0.53 
4048;0.75;0.22;-9.69;-0.66;1.30;-0.43 
4072;0.70;0.22;-9.71;-0.47;1.32;-0.32 
4096;0.70;0.24;-9.71;-0.60;1.27;-0.53 
4119;0.72;0.22;-9.69;-0.50;1.43;-0.56 
4143;0.70;0.20;-9.72;-0.60;1.27;-0.57 
4166;0.73;0.19;-9.71;-0.50;1.39;-0.48 
4189;0.74;0.21;-9.72;-0.58;1.34;-0.48 
4212;0.72;0.26;-9.71;-0.57;1.43;-0.54 
4236;0.72;0.23;-9.73;-0.47;1.24;-0.43 
4265;0.73;0.23;-9.69;-0.52;1.55;-0.55 
4289;0.74;0.24;-9.69;-0.58;1.33;-0.39 
4312;0.73;0.21;-9.70;-0.50;1.30;-0.44 
4335;0.70;0.20;-9.71;-0.61;1.14;-0.56 
4359;0.71;0.24;-9.73;-0.52;1.34;-0.41 
4382;0.69;0.24;-9.72;-0.49;1.34;-0.64 
4406;0.69;0.23;-9.69;-0.67;1.44;-0.56 
4429;0.69;0.22;-9.72;-0.47;1.47;-0.43 
4453;0.72;0.23;-9.71;-0.48;1.27;-0.40 
4476;0.73;0.23;-9.67;-0.40;1.27;-0.52 
4500;0.72;0.22;-9.71;-0.57;1.30;-0.39 
4524;0.70;0.22;-9.72;-0.74;1.36;-0.42 
4553;0.75;0.23;-9.72;-0.65;1.37;-0.53 
4577;0.69;0.21;-9.67;-0.53;1.30;-0.36 
4599;0.74;0.26;-9.67;-0.53;1.46;-0.48 
4623;0.72;0.24;-9.71;-0.50;1.36;-0.44 
4646;0.70;0.20;-9.72;-0.66;1.49;-0.36 
4670;0.70;0.27;-9.70;-0.62;1.35;-0.43 
4692;0.74;0.24;-9.70;-0.56;1.21;-0.40 
4716;0.68;0.25;-9.68;-0.72;1.33;-0.38 
4740;0.70;0.24;-9.71;-0.52;1.43;-0.50 
4763;0.72;0.24;-9.67;-0.37;1.24;-0.53 
4786;0.69;0.22;-9.70;-0.51;1.41;-0.43 
4809;0.72;0.23;-9.72;-0.57;1.39;-0.43 
4833;0.70;0.21;-9.65;-0.63;1.33;-0.60 
4862;0.74;0.19;-9.71;-0.45;1.42;-0.53 
4885;0.72;0.21;-9.67;-0.56;1.37;-0.48 
4909;0.73;0.20;-9.69;-0.51;1.41;-0.43 
4932;0.71;0.25;-9.69;-0.58;1.36;-0.57 
4956;0.76;0.20;-9.66;-0.47;1.41;-0.50 
4978;0.70;0.21;-9.71;-0.52;1.34;-0.48 
5002;0.70;0.23;-9.72;-0.49;1.27;-0.39 
5025;0.71;0.25;-9.73;-0.43;1.24;-0.55 
5049;0.70;0.20;-9.71;-0.48;1.35;-0.35 
5071;0.70;0.19;-9.70;-0.50;1.30;-0.51 
5095;0.69;0.22;-9.73;-0.71;1.32;-0.37 
5118;0.70;0.23;-9.72;-0.66;1.27;-0.32 
5142;0.75;0.24;-9.70;-0.63;1.29;-0.37 
5171;0.71;0.22;-9.71;-0.60;1.29;-0.37 
5194;0.72;0.24;-9.70;-0.47;1.30;-0.62 
5218;0.72;0.23;-9.70;-0.51;1.36;-0.48 
5241;0.72;0.22;-9.70;-0.56;1.38;-0.46 
5264;0.72;0.21;-9.67;-0.56;1.24;-0.46 
5287;0.72;0.22;-9.70;-0.47;1.24;-0.56 
5311;0.70;0.24;-9.69;-0.63;1.54;-0.46 
5335;0.71;0.24;-9.68;-0.43;1.46;-0.52 
5357;0.74;0.25;-9.69;-0.68;1.45;-0.48 
5381;0.74;0.21;-9.71;-0.57;1.50;-0.54 
5404;0.74;0.22;-9.74;-0.54;1.30;-0.48 
5428;0.75;0.25;-9.71;-0.43;1.26;-0.57 
5450;0.72;0.27;-9.71;-0.40;1.10;-0.36 
5480;0.75;0.21;-9.67;-0.46;1.39;-0.38 
5504;0.73;0.23;-9.67;-0.61;1.43;-0.53 
5527;0.74;0.21;-9.72;-0.66;1.32;-0.42 
5550;0.75;0.19;-9.70;-0.67;1.41;-0.43 
5573;0.72;0.26;-9.68;-0.65;1.46;-0.40 
5597;0.74;0.19;-9.68;-0.65;1.27;-0.43 
5620;0.74;0.24;-9.69;-0.48;1.32;-0.55 
5644;0.71;0.22;-9.74;-0.37;1.33;-0.40 
5667;0.75;0.24;-9.70;-0.58;1.38;-0.34 
5706;0.73;0.24;-9.71;-0.46;1.14;-0.47 
5730;0.73;0.23;-9.69;-0.53;1.30;-0.40 
5753;0.70;0.21;-9.70;-0.63;1.25;-0.34 
5777;0.71;0.21;-9.70;-0.53;1.33;-0.40 
5807;0.71;0.23;-9.69;-0.49;1.31;-0.60 
5830;0.69;0.22;-9.68;-0.49;1.38;-0.63 
5854;0.71;0.21;-9.70;-0.48;1.27;-0.40 
5876;0.76;0.24;-9.66;-0.65;1.43;-0.43 
5900;0.73;0.24;-9.71;-0.65;1.41;-0.46 
5923;0.71;0.22;-9.67;-0.61;1.42;-0.41 
5947;0.68;0.19;-9.72;-0.59;1.34;-0.56 
5969;0.73;0.22;-9.70;-0.72;1.46;-0.49 
5993;0.72;0.24;-9.67;-0.67;1.30;-0.43 
6026;0.74;0.21;-9.71;-0.43;1.39;-0.43 
6049;0.69;0.25;-9.68;-0.50;1.44;-0.45 
6073;0.72;0.22;-9.69;-0.54;1.38;-0.43 
6103;0.71;0.21;-9.72;-0.55;1.21;-0.50 
6126;0.77;0.21;-9.73;-0.64;1.36;-0.58 
6149;0.71;0.21;-9.68;-0.44;1.24;-0.50 
6172;0.74;0.24;-9.68;-0.72;1.05;-0.47 
6196;0.72;0.19;-9.70;-0.44;1.34;-0.37 
6219;0.73;0.27;-9.72;-0.56;1.33;-0.49 
6242;0.75;0.21;-9.70;-0.46;1.20;-0.34 
6265;0.75;0.24;-9.71;-0.59;1.37;-0.38 
6289;0.70;0.24;-9.67;-0.57;1.40;-0.39 
6312;0.76;0.23;-9.71;-0.43;1.23;-0.44 
6335;0.74;0.22;-9.70;-0.55;1.18;-0.48 
6359;0.72;0.21;-9.70;-0.45;1.34;-0.47 
6382;0.77;0.23;-9.70;-0.46;1.37;-0.47 
6412;0.70;0.21;-9.69;-0.56;1.31;-0.50 
6434;0.71;0.23;-9.69;-0.49;1.40;-0.48 
6458;0.70;0.23;-9.70;-0.63;1.27;-0.47 
6481;0.70;0.24;-9.71;-0.31;1.39;-0.55 
6504;0.69;0.22;-9.68;-0.53;1.29;-0.48 
6528;0.72;0.23;-9.69;-0.58;1.37;-0.45 
6551;0.74;0.26;-9.74;-0.52;1.41;-0.52 
6575;0.72;0.23;-9.69;-0.39;1.25;-0.47 
6597;0.73;0.26;-9.71;-0.67;1.37;-0.51 
6621;0.77;0.23;-9.69;-0.50;1.21;-0.48 
6644;0.76;0.23;-9.71;-0.37;1.31;-0.48 
6668;0.69;0.23;-9.70;-0.63;1.44;-0.44 
6690;0.70;0.20;-9.69;-0.68;1.45;-0.52 
6720;0.75;0.26;-9.70;-0.69;1.48;-0.32 
6744;0.74;0.21;-9.67;-0.43;1.28;-0.44 
6767;0.75;0.24;-9.74;-0.57;1.36;-0.40 
6791;0.70;0.25;-9.71;-0.60;1.49;-0.63 
6814;0.75;0.25;-9.69;-0.71;1.38;-0.44 
6837;0.74;0.20;-9.72;-0.37;1.39;-0.34 
6860;0.74;0.22;-9.71;-0.62;1.41;-0.43 
6884;0.74;0.22;-9.68;-0.51;1.37;-0.63 
6907;0.71;0.21;-9.72;-0.65;1.28;-0.62 
6931;0.71;0.24;-9.72;-0.49;1.38;-0.60 
6955;0.75;0.23;-9.71;-0.52;1.34;-0.55 
