Time (s);Latitude (°);Longitude (°);Height (m);Horizontal Accuracy (m)
0;53.47112157;9.721023138;6.920860291;65
1;53.47107863;9.721059783;6.310315609;65
2;53.47111346;9.721052812;8.474621948;48
3;53.47110836;9.721038209;1.914516624;32
4;53.47109371;9.721027714;5.056365984;24
5;53.47109422;9.721030787;5.336544802;24
6;53.47108833;9.721024466;0.881864548;24
7;53.4710808;9.721025506;0.861385345;24
8;53.47107766;9.721028021;0.864753342;32
9;53.47101472;9.721064332;4.91837574;32.00483309
10;53.47102648;9.721040296;5.412953831;24.00362482
11;53.47102648;9.721040296;5.412953831;24.00362482
12;53.47102648;9.721040296;5.412953831;16.00241655
13;53.47102648;9.721040296;5.412953831;16.00241655
14;53.47102648;9.721040296;5.412953831;12.00181241
15;53.47102648;9.721040296;5.412953831;12.00181241
16;53.47102648;9.721040296;5.412953831;12.00181241
17;53.47102648;9.721040296;5.412953831;12.00181241
18;53.47102648;9.721040296;5.412953831;8.001208274
19;53.47102648;9.721040296;5.412953831;8.001208274
20;53.47102648;9.721040296;5.412953831;8.001208274
21;53.47102648;9.721040296;5.412953831;8.001208274
22;53.47104871;9.721027466;5.412971497;8.001208274
23;53.47105168;9.721015915;5.371401978;8.001208274
24;53.47105291;9.721034395;5.329819412;8.001208274
25;53.47104646;9.721049613;5.385536644;8.001208274
26;53.47102462;9.721074231;5.440416381;6.000906205
27;53.47100529;9.721073947;5.465157895;6.000906205
28;53.47099146;9.72107039;5.467632046;6.000906205
29;53.47098304;9.721065743;5.467879461;6.000906205
30;53.47097688;9.721069618;5.467904203;6.000906205
31;53.47097277;9.721088857;5.467906677;6.000906205
32;53.47097098;9.721111899;5.467906924;6.000906205
33;53.47097343;9.721106204;5.467906949;6.000906205
34;53.47097951;9.721116996;5.467906952;4.000604137
35;53.47098799;9.721145697;5.467906952;4.000604137
36;53.47098384;9.721169534;5.467906952;4.000604137
37;53.47097175;9.721170665;5.467906952;4.000604137
38;53.47095873;9.721178372;5.467906952;6.000906205
39;53.47094586;9.721185657;5.467906952;6.000906205
40;53.47093474;9.721197203;5.467906952;6.000906205
41;53.47092044;9.721214612;5.467906952;6.000906205
42;53.47090404;9.721231562;5.467906952;6.000906205
43;53.47089318;9.721257079;5.467906952;6.000906205
44;53.47088096;9.721283311;5.467906952;6.000906205
45;53.47087001;9.72131353;5.467906952;6.000906205
46;53.47086572;9.721346911;5.467906952;6.000906205
47;53.47085806;9.721373715;5.467906952;6.000906205
48;53.47084906;9.721394629;5.467906952;6.000906205
49;53.47084601;9.721422237;5.467906952;6.000906205
50;53.47084368;9.721443378;5.467906952;6.000906205
51;53.47083373;9.72146618;5.467906952;6.000906205
52;53.47082353;9.721482124;5.467906952;6.000906205
53;53.47081112;9.721501587;5.467906952;6.000906205
54;53.47080177;9.721519659;5.467906952;6.000906205
55;53.4707994;9.721536619;5.467906952;6.000906205
56;53.47080142;9.721545315;5.467906952;6.000906205
57;53.47079329;9.721563009;5.467906952;6.000906205
58;53.47077936;9.721585037;5.467906952;6.000906205
59;53.47076;9.721604504;5.467906952;6.000906205
60;53.47073841;9.721624143;5.467906952;6.000906205
61;53.47072485;9.721646066;5.467906952;6.000906205
62;53.47071116;9.721658328;5.467906952;6.000906205
63;53.47069344;9.72166745;5.467906952;6.000906205
64;53.47068404;9.721687741;5.467906952;6.000906205
65;53.47067246;9.721697039;5.467906952;6.000906205
66;53.47066059;9.721706681;5.467906952;6.000906205
67;53.47065346;9.721726759;5.467906952;6.000906205
68;53.47064646;9.721744535;5.467906952;6.000906205
69;53.47063585;9.721754376;5.467906952;6.000906205
70;53.47063291;9.721773262;5.467906952;6.000906205
71;53.4706259;9.721790574;5.467906952;6.000906205
72;53.47061611;9.721812262;5.467906952;6.000906205
73;53.47060472;9.721831707;5.467906952;6.000906205
